Timestamp,response_to_survey,has_black_highschool_child,racial_background,residence_city,school_city,city_clean,grade,school_type,school_district,school_name,age,gender,background_match_family,background_match_friends,background_match_teachers,background_match_students,background_match_coaches,background_match_team_members,background_match_social_media,school_size,racism_discussion_family,racism_discussion_friends,racism_discussion_teachers,racism_discussion_students,racism_discussion_coaches,racism_discussion_team_members,racism_discussion_social_media,experienced_name_calling,witnessed_exclusion,witnessed_bullying,frequency_witnessed_racism,emotional_response_to_racism,peer_reaction_to_racism,peer_actions_during_racism,attention_check_response,experience_description,knows_other_students_targeted,support_satisfaction,support_feedback,school_response_effectiveness,resources_sufficiency,feel_safe,school_inclusiveness,comfort_discussing_race,dei_effectiveness,comfort_reporting,barriers_to_reporting,suggested_improvements,comfort_advocating_black_youth,final_comments,interest_in_training,interest_in_certification,willing_to_pay_training,is_black,is_indigenous,feel_safe_score,support_score,school_response_score,dei_score,resources_sufficiency_score,comfort_discussing_race_score,comfort_reporting_score,comfort_advocating_score,interest_training_score,interest_certification_score
2024-07-21 04:15:05.967,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Sidney,Sidney ,Sidney ,Grade 10,Public,School District 28 Quesnel,,13,Female,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,501 to 1000,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Yes, I have seen it happening at my school.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Often,I feel powerless or helpless.,They support / encourage it,"They join in or contribute to the behaviour., They distance themselves from the situation.",Neutral,"Always being buliied because of my colour, but I don't give a🖕","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,The system doesn't support us,Neutral,Neutral,Neutral,Moderately inclusive,Neutral,Moderately effective,Neutral,Fear,Their choices ,Neutral,Nah,3 - Moderately interested,3 - Moderately interested,10.0,True,False,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
2024-07-20 12:23:44.383,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,
2024-07-09 16:55:13.923,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child","Indigenous (First Nations, Inuit, Métis), White (Your ancestors are European), Black (Your ancestors are African/Caribbean)",Surrey,Surrey,Surrey,Grade 11,Public,School District 36 Surrey,,16,Male,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,More than 1000,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"Yes, I have seen it happening at my school.","No, I haven't noticed this at my school.","No, I haven’t seen this happen at school or experienced this personally.",Never,I feel powerless or helpless.,They ignore it / pretend it isn’t happening,"They report the incident to a teacher or authority., They personally intervene.",Neutral,"I got yelled at by an old white lady and she yell ""all lives matter"" because I was wearing a blm hoodie.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,...,Agree,Agree,Very Safe,Extremely inclusive,Comfortable,Very effective,Comfortable,Threats,It's fine how it is.,Comfortable,...,4 - Very interested,4 - Very interested,10.0,True,True,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
2024-07-20 18:43:13.041,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Vancouver,Vancouver,Vancouver,Grade 11,Public,School District 22 Vernon,,15,Male,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,200 to 500,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, and I have experienced this personally.",Sometimes,I feel amused or entertained.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They personally intervene.",Neutral,A Black employee might be passed over for promotions despite having similar or better qualifications than their peers. They may also face subtle or overt racist comments from colleagues. Reporting such incidents can be challenging due to fear of retaliation or being labeled as overly sensitive.,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,I am satisfied,Agree,Agree,Safe,Moderately inclusive,Comfortable,Moderately effective,Comfortable,Fear of retaliation,Diversity and inclusion training,Very Comfortable,No,4 - Very interested,4 - Very interested,10.0,True,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
2024-07-19 19:45:13.074,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child","White (Your ancestors are European), Black (Your ancestors are African/Caribbean)",Vancouver,Vancouver,Vancouver,Grade 11,Public,School District 39 Vancouver,,16,Female,Most have the same background as mine,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,Most have the same background as mine,More than 1000,Very Often,Often,Rarely,Often,Never,Never,Rarely,"Yes, I have experienced this personally.","No, I haven't noticed this at my school.","Yes, and I have experienced this personally.",Often,I feel outraged or furious.,They oppose it / discourage it,They report the incident to a teacher or authority.,Neutral,"I was friend's with someone and we had a falling out. In a group chat, she said that I was ""black and ugly' which was completely uncalled for. My other friends in the chat called her out and then told me about the situation. I talked to my mom about it.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,There are not really any resources,Agree,Neutral,Very Safe,Moderately inclusive,Very Comfortable,Very effective,Very Comfortable,Nothing. Other than it coming from the teacher themself,A black counsellor,Comfortable,"Sometimes the issue is with racist teachers, and that makes for a really toxic learning environment.",3 - Moderately interested,4 - Very interested,10.0,True,False,5.0,2.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0
2024-07-09 16:35:02.375,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 3 children","Black (Your ancestors are African/Caribbean), Latino",Vancouver  ,Vancouver ,Vancouver ,Grade 9,Public,School District 39 Vancouver,,12,Non-binary,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,501 to 1000,Sometimes,Rarely,Never,Sometimes,Never,Never,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Sometimes,I feel powerless or helpless.,They ignore it / pretend it isn’t happening,"They distance themselves from the situation., They personally intervene.",Neutral,I see stuff on the discord for my class that the kids made all the time using the N word ,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Neutral,There’s none no nothing ,Strongly Disagree,Strongly Disagree,Neutral,Moderately inclusive,Uncomfortable,Slightly effective,Uncomfortable,Nothing gets done ,Actually do stuff to people who are racist make consequences ,Neutral,No ,3 - Moderately interested,5 - Extremely interested,10.0,True,False,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,5.0
2024-07-20 19:21:17.388,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Oak bay. ,Oak bay. ,Oak Bay,Grade 11,Public,School District 8 Kootenay Lake,,15,Male,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,501 to 1000,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, I have seen it happening to others at my school.",Sometimes,I feel embarrassed or ashamed.,They support / encourage it,"They react impulsively, becoming physical or verbal., They distance themselves from the situation., They gather others to intervene collectively.",Neutral,"Stereotyping: Black students might be subjected to assumptions about their abilities or behavior based on stereotypes. For instance, teachers might expect them to perform poorly in academics or excel only in sports","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Limited extracurricular activities,Agree,Agree,Very Safe,Very inclusive,Comfortable,Very effective,Comfortable,Previous negative experiences,Students organization,Comfortable,No,4 - Very interested,3 - Moderately interested,15.0,True,False,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0
2024-07-20 17:27:08.297,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Vancouver ,West Vancouver ,West Vancouver ,Grade 11,Public,School District 84 Vancouver Island West,,14,Male,They all have the same background as mine,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,501 to 1000,Sometimes,Rarely,Never,Never,Never,Never,Sometimes,"No, I haven't noticed this at my school.","No, I haven't noticed this at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel anxious or scared.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority.",Neutral,I haven't experienced any ,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Satisfied,They discourage racism.,Strongly Agree,Agree,Safe,Moderately inclusive,Neutral,Moderately effective,Comfortable,There are no reasons not to.,None that I can think of ,Comfortable,No.,4 - Very interested,4 - Very interested,15.0,True,False,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
2024-07-20 13:08:53.934,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 3 children",Black (Your ancestors are African/Caribbean),Kamloops ,Kamloops ,Kamloops ,Grade 12,Public,School District 73 Kamloops/Thompson,,17,Male,Most have the same background as mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,501 to 1000,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"Yes, I have experienced this personally.","No, I haven't noticed this at my school.","Yes, I have seen it happening to others at my school.",Sometimes,I feel outraged or furious.,They ignore it / pretend it isn’t happening,They distance themselves from the situation.,Neutral,People don’t just talk to black students because of colour ,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Neutral,"They held an awareness program 
",Neutral,Neutral,Neutral,Slightly inclusive,Neutral,Moderately effective,Neutral,Do the school authorities really care?I'm not sure.,I don’t think it’s up to the school but the students to be honest ,Comfortable,Nope,4 - Very interested,4 - Very interested,20.0,True,False,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
2024-07-20 19:52:24.766,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),New Westminster ,New Westminster ,New Westminster ,Grade 11,Public,School District 40 New Westminster,,15,Male,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,Not sure,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,"Yes, I have seen it happening at my school.","Yes, I have seen it happening at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel powerless or helpless.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They join in or contribute to the behaviour., They report the incident to a teacher or authority., They distance themselves from the situation., They offer support to the victim., They personally intervene., They gather others to intervene collectively.",Neutral,Someone call the other names which was reported immediately to avoid further casualties.,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,I feel safe regardless my race.,Strongly Agree,Agree,Very Safe,Extremely inclusive,Comfortable,Very effective,Neutral,Fear of being the victim and also being in the center of the situation.,They can create resources that will aid the public to be aware and enlightened about Anti - Black Racism.,Comfortable,There is nothing else. Thank you ,3 - Moderately interested,3 - Moderately interested,20.0,True,False,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0
2024-07-20 19:34:11.704,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),West Kelowna ,Powell River ,Powell River ,Grade 10,Public,School District 47 Powell River,,13,Female,Most have the same background as mine,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,501 to 1000,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Rarely,"No, I haven't noticed this at my school.","No, I haven't noticed this at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel embarrassed or ashamed.,They oppose it / discourage it,"They report the incident to a teacher or authority., They offer support to the victim., They personally intervene., They gather others to intervene collectively.",Neutral,I have no experience to Anti- Black racism ,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Presentable qualities.,Strongly Agree,Strongly Agree,Safe,Very inclusive,Comfortable,Very effective,Comfortable,They are no reasons to that aspect.,I don't have any additional measures to add,Comfortable,No,4 - Very interested,4 - Very interested,20.0,True,False,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
2024-07-21 05:01:40.874,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Prince george,Prince George ,Prince George ,Grade 10,Public,School District 57 Prince George,,13,Female,They all have the same background as mine,They all have the same background as mine,They all have the same background as mine,They all have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have different backgrounds,501 to 1000,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","No, I haven't noticed this happening at my school but I have experienced this personally.",Sometimes,I feel outraged or furious.,They oppose it / discourage it,They join in or contribute to the behaviour.,Neutral,Was insulted I got furious tho ,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Neutral,I'm neutral 😑 ,Agree,Agree,Unsafe,Moderately inclusive,Neutral,Moderately effective,Comfortable,My friends ,Nothing ,Neutral,No ,3 - Moderately interested,3 - Moderately interested,20.0,True,False,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0
2024-07-20 19:00:35.838,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Victoria ,Victoria ,Victoria,Grade 9,Public,School District 57 Prince George,,12,Male,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,501 to 1000,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Sometimes,I feel anxious or scared.,They oppose it / discourage it,They join in or contribute to the behaviour.,Neutral,I reported but wasn't believed,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,It ain't enough ,Neutral,Neutral,Neutral,Moderately inclusive,Comfortable,Very effective,Very Uncomfortable,You won't be believed ,Emphasis on equality ,Neutral,No ,3 - Moderately interested,3 - Moderately interested,20.0,True,False,3.0,2.0,3.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0
2024-07-20 18:11:29.053,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Chilliwack ,Chilliwack ,Chilliwack ,Grade 10,Public,School District 33 Chilliwack,,13,Female,Most have the same background as mine,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,501 to 1000,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,"No, I haven't noticed this at my school.","Yes, I have seen it happening at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel powerless or helpless.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They offer support to the victim.",Neutral,I haven't experienced any so far ,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Very Satisfied,Excellent support systems.,Strongly Agree,Agree,Very Safe,Very inclusive,Neutral,Very effective,Neutral,No reasons at all ,I don't know any.,Comfortable,No,4 - Very interested,4 - Very interested,25.0,True,False,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0
